study_id,title,authors,year,venue,doi,url,source,domain,institutional_setting,platform_stack,network_model,node_roles,consensus_strategy,finality_model,governance_model,access_control_model,privacy_mechanism,interoperability_strategy,smart_contract_support,workload_description,evaluation_setup,metrics_reported,throughput,latency,fault_tolerance,privacy_overhead,operational_complexity_notes,artifact_code_available,artifact_data_available,artifact_config_available,reproducibility_notes,quality_construct_validity,quality_internal_validity,quality_external_validity,quality_reproducibility,review_notes
ST-0001,QDBFT: A Dynamic Consensus Algorithm for Quantum-Secured Blockchain,Fei Xu; Cheng Ye; Jie OuYang; Ziqiang Wu; Haoze Chen; An Hua; Meifeng Gao; Qiandong Zhang; Minghan Li; Feilong Li; Yajun Miao; Wei Qi,2026,arXiv,10.48550/arXiv.2602.11606v1,http://arxiv.org/abs/2602.11606v1,arxiv,,,,,,[auto] PBFT,,,,,,,,,,,,,,,,,,,,,,,"[bootstrap] tier=C score=3; auto-fills are abstract-only hints, verify against full text."
ST-0002,The Birthmark Standard: Privacy-Preserving Photo Authentication via Hardware Roots of Trust and Consortium Blockchain,Sam Ryan,2026,arXiv,10.48550/arXiv.2602.04933v1,http://arxiv.org/abs/2602.04933v1,arxiv,"[auto] supply chain, identity",,,,,,,,,,,,,,,,,,,,,,,,,,,,"[bootstrap] tier=B score=4; auto-fills are abstract-only hints, verify against full text."
ST-0003,A Blockchain-Based Trust Framework for Resilient Cross-Domain UAV Service Orchestration,Yao Wu; Ziye Jia; Jingjing Zhao; Haoyang Wang; Qihui Wu; Zhu Han,2026,arXiv,10.48550/arXiv.2603.00456v1,http://arxiv.org/abs/2603.00456v1,arxiv,"[auto] supply chain, energy/utilities, identity, education",,,,,,,,,,[auto] relay/notary,,,,,,,,,,,,,,,,,,"[bootstrap] tier=C score=3; auto-fills are abstract-only hints, verify against full text."
ST-0004,Agents for Agents: An Interrogator-Based Secure Framework for Autonomous Internet of Underwater Things,Ali Akarma; Toqeer Ali Syed; Abdul Khadar Jilani; Salman Jan; Hammad Muneer; Muazzam A. Khan; Changli Yu,2026,arXiv,10.48550/arXiv.2604.04262v1,http://arxiv.org/abs/2604.04262v1,arxiv,"[auto] energy/utilities, identity",,,,,,,,,,,,,,,,,,,,,,,,,,,,"[bootstrap] tier=B score=4; auto-fills are abstract-only hints, verify against full text."
ST-0005,Integration Adapter Architecture for Food Traceability Blockchain,André Romão; Francisco Faria; João R. Matos; Emanuel Nunes; Samih Eisa; Miguel L. Pardal,2026,arXiv,10.48550/arXiv.2603.26306v1,http://arxiv.org/abs/2603.26306v1,arxiv,[auto] supply chain,,,,,,,,,,[auto] cross-chain bridge,,,,,,,,,,,,,,,,,,"[bootstrap] tier=C score=3; auto-fills are abstract-only hints, verify against full text."
ST-0006,Tuning Block Size for Workload Optimization in Consortium Blockchain Networks,Narges Dadkhah; Somayeh Mohammadi; Gerhard Wunder,2025,arXiv,10.48550/arXiv.2509.03367v1,http://arxiv.org/abs/2509.03367v1,arxiv,[auto] IoT/edge,,[auto] Hyperledger Fabric,,,,,,,,,,,,,,,,,,,,,,,,,,"[bootstrap] tier=B score=4; auto-fills are abstract-only hints, verify against full text."
ST-0007,Decentralizing Trust: Consortium Blockchains and Hyperledger Fabric Explained,Angelo Vera-Rivera; Ekram Hossain,2025,arXiv,10.48550/arXiv.2502.06540v1,http://arxiv.org/abs/2502.06540v1,arxiv,[auto] IoT/edge,,[auto] Hyperledger Fabric,,,,,,,,,,,,,,,,,,,,,,,,,,"[bootstrap] tier=B score=4; auto-fills are abstract-only hints, verify against full text."
ST-0008,Universally Composable Termination Analysis of Tendermint,Zhixin Dong; Xian Xu; Yuhang Zeng; Mingchao Wan; Chunmiao Li,2025,arXiv,10.48550/arXiv.2510.01097v2,http://arxiv.org/abs/2510.01097v2,arxiv,,,[auto] Cosmos,,,[auto] Tendermint,,,,,,,,,,,,,,,,,,,,,,,"[bootstrap] tier=C score=2; auto-fills are abstract-only hints, verify against full text."
ST-0009,TINC: Trusted Intelligent NetChain,Qi Xia; Hu Xia; Isaac Amankona Obiri; Adjei-Arthur Bonsu; Grace Mupoyi Ntuala; Ansu Badjie; Tienin Bole Wilfried; Jiaqin Liu; Lan Ma; Jianbin Gao; Feng Yao,2025,arXiv,10.48550/arXiv.2511.00823v1,http://arxiv.org/abs/2511.00823v1,arxiv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[bootstrap] tier=C score=3; auto-fills are abstract-only hints, verify against full text."
ST-0010,Trustworthy Provenance for Big Data Science: a Modular Architecture Leveraging Blockchain in Federated Settings,Nicola Giuseppe Marchioro; Yannis Velegrakis; Valentine Anantharaj; Ian Foster; Sandro Luigi Fiore,2025,arXiv,10.48550/arXiv.2505.24675v1,http://arxiv.org/abs/2505.24675v1,arxiv,[auto] supply chain,,,,,,,,,,,,,,,,,,,,[auto] hinted,,,,,,,,"[bootstrap] tier=B score=4; auto-fills are abstract-only hints, verify against full text."
ST-0011,Permissioned Blockchain in Advanced Air Mobility: A Performance Analysis for UTM,Rodrigo Nunes; André Melo; Rafael Albarello; Reinaldo Gomes; Cesar Marcondes; Lourenço Pereira,2025,arXiv,10.48550/arXiv.2511.02171v2,http://arxiv.org/abs/2511.02171v2,arxiv,[auto] IoT/edge,,[auto] Hyperledger Fabric,,,,,,,,,,,,,,,,,,,,,,,,,,"[bootstrap] tier=B score=4; auto-fills are abstract-only hints, verify against full text."
ST-0012,Auditable Ledger Snapshot for Non-Repudiable Cross-Blockchain Communication,Tirthankar Sengupta; Bishakh Chandra Ghosh; Sandip Chakraborty; Shamik Sural,2025,arXiv,10.48550/arXiv.2511.16560v1,http://arxiv.org/abs/2511.16560v1,arxiv,[auto] IoT/edge,,[auto] Hyperledger Fabric,,,,,,,,[auto] cross-chain bridge,,,,,,,,,,,,,,,,,,"[bootstrap] tier=C score=3; auto-fills are abstract-only hints, verify against full text."
