candidate_id,title,authors,year,venue,doi,url,source,source_set,title_abstract_decision,title_abstract_reason,fulltext_status,fulltext_decision,fulltext_exclusion_reason_code,fulltext_exclusion_reason_detail,reviewer_1,reviewer_2,conflict_status,final_decision,pdf_collected,pdf_path_or_link,notes
FT-0001,QDBFT: A Dynamic Consensus Algorithm for Quantum-Secured Blockchain,Fei Xu; Cheng Ye; Jie OuYang; Ziqiang Wu; Haoze Chen; An Hua; Meifeng Gao; Qiandong Zhang; Minghan Li; Feilong Li; Yajun Miao; Wei Qi,2026,arXiv,10.48550/arXiv.2602.11606v1,http://arxiv.org/abs/2602.11606v1,arxiv,arxiv,UNCERTAIN,generic_blockchain_institutional,agent-finalised,include,,"Accessible full-text agent review (high): Full text shows institutional or consortium context, concrete blockchain system design or implementation, and evaluative evidence.",agent-fulltext-review,,pending-author-check,include,yes,data/fulltext/ambiguous/UT-0001-qdbft-a-dynamic-consensus-algorithm-for-quantum-secured-blockchain.pdf,"Accessible full-text agent review (high): Full text shows institutional or consortium context, concrete blockchain system design or implementation, and evaluative evidence. | finalised:accessible_review_include"
FT-0002,The Birthmark Standard: Privacy-Preserving Photo Authentication via Hardware Roots of Trust and Consortium Blockchain,Sam Ryan,2026,arXiv,10.48550/arXiv.2602.04933v1,http://arxiv.org/abs/2602.04933v1,arxiv,arxiv,INCLUDE,full_criteria_match,agent-finalised,include,,"Institutional/consortium context, concrete blockchain design/implementation, and evaluative evidence.",agent-firstpass-fulltext-review,,pending-author-check,include,yes,https://arxiv.org/pdf/2602.04933v1.pdf,"firstpass_fulltext_agent (high): Institutional/consortium context, concrete blockchain design/implementation, and evaluative evidence."
FT-0003,A Blockchain-Based Trust Framework for Resilient Cross-Domain UAV Service Orchestration,Yao Wu; Ziye Jia; Jingjing Zhao; Haoyang Wang; Qihui Wu; Zhu Han,2026,arXiv,10.48550/arXiv.2603.00456v1,http://arxiv.org/abs/2603.00456v1,arxiv,arxiv,INCLUDE,full_criteria_match,agent-finalised,include,,"Institutional/consortium context, concrete blockchain design/implementation, and evaluative evidence.",agent-firstpass-fulltext-review,,pending-author-check,include,yes,https://arxiv.org/pdf/2603.00456v1.pdf,"firstpass_fulltext_agent (high): Institutional/consortium context, concrete blockchain design/implementation, and evaluative evidence."
FT-0004,Agents for Agents: An Interrogator-Based Secure Framework for Autonomous Internet of Underwater Things,Ali Akarma; Toqeer Ali Syed; Abdul Khadar Jilani; Salman Jan; Hammad Muneer; Muazzam A. Khan; Changli Yu,2026,arXiv,10.48550/arXiv.2604.04262v1,http://arxiv.org/abs/2604.04262v1,arxiv,arxiv,INCLUDE,full_criteria_match,agent-finalised,include,,"Institutional/consortium context, concrete blockchain design/implementation, and evaluative evidence.",agent-firstpass-fulltext-review,,pending-author-check,include,yes,https://arxiv.org/pdf/2604.04262v1.pdf,"firstpass_fulltext_agent (high): Institutional/consortium context, concrete blockchain design/implementation, and evaluative evidence."
FT-0005,Integration Adapter Architecture for Food Traceability Blockchain,André Romão; Francisco Faria; João R. Matos; Emanuel Nunes; Samih Eisa; Miguel L. Pardal,2026,arXiv,10.48550/arXiv.2603.26306v1,http://arxiv.org/abs/2603.26306v1,arxiv,arxiv,UNCERTAIN,generic_blockchain_institutional,agent-finalised,include,,"Accessible full-text agent review (high): Full text shows institutional or consortium context, concrete blockchain system design or implementation, and evaluative evidence.",agent-fulltext-review,,pending-author-check,include,yes,data/fulltext/ambiguous/UT-0002-integration-adapter-architecture-for-food-traceability-blockchain.pdf,"Accessible full-text agent review (high): Full text shows institutional or consortium context, concrete blockchain system design or implementation, and evaluative evidence. | finalised:accessible_review_include"
FT-0006,Tuning Block Size for Workload Optimization in Consortium Blockchain Networks,Narges Dadkhah; Somayeh Mohammadi; Gerhard Wunder,2025,arXiv,10.48550/arXiv.2509.03367v1,http://arxiv.org/abs/2509.03367v1,arxiv,arxiv,INCLUDE,full_criteria_match,agent-finalised,include,,"Institutional/consortium context, concrete blockchain design/implementation, and evaluative evidence.",agent-firstpass-fulltext-review,,pending-author-check,include,yes,https://arxiv.org/pdf/2509.03367v1.pdf,"firstpass_fulltext_agent (high): Institutional/consortium context, concrete blockchain design/implementation, and evaluative evidence."
FT-0007,Decentralizing Trust: Consortium Blockchains and Hyperledger Fabric Explained,Angelo Vera-Rivera; Ekram Hossain,2025,arXiv,10.48550/arXiv.2502.06540v1,http://arxiv.org/abs/2502.06540v1,arxiv,arxiv,INCLUDE,full_criteria_match,agent-finalised,include,,"Institutional/consortium context, concrete blockchain design/implementation, and evaluative evidence.",agent-firstpass-fulltext-review,,pending-author-check,include,yes,https://arxiv.org/pdf/2502.06540v1.pdf,"firstpass_fulltext_agent (high): Institutional/consortium context, concrete blockchain design/implementation, and evaluative evidence."
FT-0008,Universally Composable Termination Analysis of Tendermint,Zhixin Dong; Xian Xu; Yuhang Zeng; Mingchao Wan; Chunmiao Li,2025,arXiv,10.48550/arXiv.2510.01097v2,http://arxiv.org/abs/2510.01097v2,arxiv,arxiv,UNCERTAIN,generic_blockchain_institutional,agent-finalised,include,,"Accessible full-text agent review (high): Full text shows institutional or consortium context, concrete blockchain system design or implementation, and evaluative evidence.",agent-fulltext-review,,pending-author-check,include,yes,data/fulltext/ambiguous/UT-0003-universally-composable-termination-analysis-of-tendermint.pdf,"Accessible full-text agent review (high): Full text shows institutional or consortium context, concrete blockchain system design or implementation, and evaluative evidence. | finalised:accessible_review_include"
FT-0009,TINC: Trusted Intelligent NetChain,Qi Xia; Hu Xia; Isaac Amankona Obiri; Adjei-Arthur Bonsu; Grace Mupoyi Ntuala; Ansu Badjie; Tienin Bole Wilfried; Jiaqin Liu; Lan Ma; Jianbin Gao; Feng Yao,2025,arXiv,10.48550/arXiv.2511.00823v1,http://arxiv.org/abs/2511.00823v1,arxiv,arxiv,UNCERTAIN,generic_blockchain_institutional,agent-finalised,include,,Promoted to include based on second-pass uncertain triage (strong title/abstract signal; full text not retrieved by agent).,agent-fulltext-finalisation,,pending-author-check,include,no,,finalised:triage_likely_include_promoted
FT-0010,Trustworthy Provenance for Big Data Science: a Modular Architecture Leveraging Blockchain in Federated Settings,Nicola Giuseppe Marchioro; Yannis Velegrakis; Valentine Anantharaj; Ian Foster; Sandro Luigi Fiore,2025,arXiv,10.48550/arXiv.2505.24675v1,http://arxiv.org/abs/2505.24675v1,arxiv,arxiv;openalex,UNCERTAIN,tech_with_weak_signal,agent-finalised,include,,Promoted to include based on second-pass uncertain triage (strong title/abstract signal; full text not retrieved by agent).,agent-fulltext-finalisation,,pending-author-check,include,no,,finalised:triage_likely_include_promoted
