study_id,year,tier,interop_pattern,platform_stack,domain
ST-0001,2026,C,none mentioned,not specified,unclassified
ST-0002,2026,B,none mentioned,Hyperledger Fabric; Polkadot/Substrate; Bitcoin,finance/banking; supply chain; government/public sector; identity/PKI; education
ST-0003,2026,C,relay/notary,not specified,supply chain; energy/utilities; identity; education
ST-0004,2026,B,relay/notary,Hyperledger Fabric,healthcare; finance/banking; government/public sector; energy/utilities; identity/PKI; IoT/edge/CPS; education; transportation/mobility
ST-0005,2026,C,cross-chain bridge,not specified,supply chain
ST-0006,2025,B,none mentioned,Hyperledger Fabric; Bitcoin,healthcare; supply chain; energy/utilities; identity/PKI; education
ST-0007,2025,B,none mentioned,Hyperledger Fabric; Ethereum; Bitcoin,healthcare; finance/banking; supply chain; government/public sector; energy/utilities; identity/PKI
ST-0008,2025,C,none mentioned,Cosmos,unclassified
ST-0009,2025,C,none mentioned,not specified,unclassified
ST-0010,2025,B,none mentioned,not specified,supply chain
ST-0011,2025,B,API gateway,Hyperledger Fabric; Hyperledger Besu; Ethereum,finance/banking; supply chain; government/public sector; identity/PKI; IoT/edge/CPS; education; transportation/mobility
ST-0012,2025,C,cross-chain bridge,Hyperledger Fabric,IoT/edge
ST-0013,2024,C,none mentioned,not specified,unclassified
ST-0014,2024,D,none mentioned,not specified,unclassified
ST-0015,2024,C,none mentioned,not specified,unclassified
ST-0016,2024,C,none mentioned,Hyperledger Fabric,IoT/edge
ST-0017,2024,C,none mentioned,not specified,government/public sector; IoT/edge
ST-0018,2024,A,none mentioned,Hyperledger Fabric; Hyperledger Besu; Ethereum; Bitcoin,healthcare; finance/banking; supply chain; government/public sector; energy/utilities; identity/PKI; IoT/edge/CPS; transportation/mobility
ST-0019,2024,B,none mentioned,Hyperledger Fabric; Bitcoin,healthcare; finance/banking; supply chain; government/public sector; identity/PKI; IoT/edge/CPS; education; transportation/mobility
ST-0020,2023,B,none mentioned,Hyperledger Fabric; Bitcoin,IoT/edge/CPS
ST-0021,2023,C,none mentioned,not specified,IoT/edge; education
ST-0022,2023,B,none mentioned,Hyperledger Fabric; Ethereum; Bitcoin,supply chain; government/public sector; energy/utilities; identity/PKI; IoT/edge/CPS
ST-0023,2023,C,none mentioned,Hyperledger Besu,healthcare; finance/banking; supply chain; IoT/edge; education
ST-0024,2023,C,none mentioned,not specified,healthcare; finance/banking
ST-0025,2023,B,none mentioned,Hyperledger Fabric; Ethereum,healthcare; finance/banking; government/public sector; identity/PKI; education
ST-0026,2022,C,none mentioned,Hyperledger Fabric,supply chain; IoT/edge
ST-0027,2022,B,message queue/broker,Hyperledger Fabric; Ethereum; IOTA; Bitcoin,healthcare; finance/banking; supply chain; energy/utilities; identity/PKI; IoT/edge/CPS
ST-0028,2022,D,none mentioned,not specified,unclassified
ST-0029,2022,B,oracle,Hyperledger Iroha; Ethereum,finance/banking; government/public sector; identity/PKI; education
ST-0030,2022,C,none mentioned,not specified,unclassified
ST-0031,2022,B,none mentioned,Hyperledger Fabric; Quorum; Ethereum,healthcare; finance/banking; supply chain; government/public sector; energy/utilities; identity/PKI; IoT/edge/CPS; transportation/mobility
ST-0032,2022,C,cross-chain bridge,Hyperledger Fabric; Corda,IoT/edge
ST-0032,2022,C,HTLC,Hyperledger Fabric; Corda,IoT/edge
ST-0033,2021,D,none mentioned,not specified,unclassified
ST-0034,2021,C,none mentioned,not specified,unclassified
ST-0035,2021,C,none mentioned,not specified,finance/banking; IoT/edge
ST-0036,2021,C,none mentioned,not specified,healthcare
ST-0037,2021,B,message queue/broker,Hyperledger Fabric; Quorum; Ethereum,healthcare; finance/banking; supply chain; government/public sector; energy/utilities; identity/PKI; IoT/edge/CPS; education; transportation/mobility; agriculture
ST-0038,2021,B,cross-chain bridge,Hyperledger Fabric; Quorum; Ethereum; Bitcoin,finance/banking; identity/PKI
ST-0039,2021,C,none mentioned,Hyperledger Fabric,finance/banking; supply chain; identity; IoT/edge; education
ST-0040,2021,C,none mentioned,Hyperledger Fabric; Hyperledger Besu; Ethereum,IoT/edge
ST-0041,2021,B,none mentioned,Hyperledger Fabric; Quorum; Ethereum; Cosmos/Tendermint,supply chain; government/public sector; identity/PKI; IoT/edge/CPS
ST-0042,2021,C,none mentioned,Hyperledger Fabric,IoT/edge
ST-0043,2021,B,cross-chain bridge,Hyperledger Fabric; Corda; Ethereum; Bitcoin,healthcare; finance/banking; supply chain; government/public sector; energy/utilities; identity/PKI; IoT/edge/CPS; education
ST-0043,2021,B,interledger/IBC,Hyperledger Fabric; Corda; Ethereum; Bitcoin,healthcare; finance/banking; supply chain; government/public sector; energy/utilities; identity/PKI; IoT/edge/CPS; education
ST-0043,2021,B,sidechain,Hyperledger Fabric; Corda; Ethereum; Bitcoin,healthcare; finance/banking; supply chain; government/public sector; energy/utilities; identity/PKI; IoT/edge/CPS; education
ST-0044,2021,B,cross-chain bridge,Hyperledger Fabric; Corda; Ethereum; Bitcoin,finance/banking; supply chain; government/public sector; energy/utilities; identity/PKI
ST-0045,2025,B,none mentioned,not specified,healthcare; finance/banking; supply chain; government/public sector; energy/utilities; IoT/edge/CPS; education; transportation/mobility
ST-0053,2025,B,none mentioned,Hyperledger Fabric; Ethereum; Cosmos/Tendermint; Ripple/XRP; Stellar; Bitcoin,healthcare; finance/banking; supply chain; government/public sector; energy/utilities; identity/PKI; IoT/edge/CPS
ST-0055,2024,B,none mentioned,not specified,healthcare
ST-0060,2026,B,cross-chain bridge,not specified,supply chain; identity
ST-0067,2025,A,none mentioned,not specified,supply chain
ST-0071,2024,C,none mentioned,not specified,healthcare
ST-0075,2025,A,none mentioned,not specified,government/public sector; energy/utilities; identity; IoT/edge; education
ST-0083,2024,A,none mentioned,Ethereum,healthcare; IoT/edge
ST-0084,2021,B,none mentioned,not specified,finance/banking; supply chain
ST-0088,2025,B,none mentioned,not specified,healthcare
ST-0095,2024,B,none mentioned,Hyperledger Fabric,education
ST-0097,2023,B,none mentioned,not specified,government/public sector
ST-0098,2026,A,none mentioned,not specified,government/public sector; IoT/edge
ST-0099,2022,C,none mentioned,not specified,IoT/edge; education
ST-0113,2025,B,cross-chain bridge,not specified,supply chain; government/public sector; education
ST-0125,2023,B,none mentioned,not specified,healthcare; IoT/edge
ST-0128,2021,B,none mentioned,not specified,healthcare; finance/banking
ST-0147,2024,C,none mentioned,not specified,healthcare; supply chain; IoT/edge
ST-0163,2023,C,none mentioned,not specified,healthcare; education
ST-0164,2024,B,none mentioned,Hyperledger Fabric; Ethereum; Ripple/XRP; Bitcoin,healthcare; finance/banking; supply chain; government/public sector; identity/PKI; education
ST-0169,2021,C,none mentioned,not specified,IoT/edge
ST-0171,2025,B,none mentioned,Hyperledger Fabric,IoT/edge; education
ST-0172,2025,C,none mentioned,not specified,IoT/edge
ST-0175,2025,B,none mentioned,not specified,healthcare; finance/banking; supply chain
ST-0182,2022,A,none mentioned,Hyperledger Fabric; Hyperledger Besu; Hyperledger Sawtooth; Hyperledger Iroha; Ethereum,healthcare; finance/banking; supply chain; government/public sector; identity/PKI; IoT/edge/CPS; transportation/mobility
ST-0197,2025,B,none mentioned,not specified,healthcare; IoT/edge
ST-0203,2025,B,none mentioned,Hyperledger Fabric,IoT/edge; education
ST-0224,2023,C,none mentioned,not specified,healthcare
ST-0227,2025,B,none mentioned,not specified,supply chain; government/public sector; IoT/edge
ST-0250,2024,B,none mentioned,not specified,identity; education
ST-0267,2023,B,none mentioned,not specified,finance/banking; supply chain; government/public sector; IoT/edge
ST-0270,2025,A,none mentioned,Ethereum,finance/banking; supply chain; government/public sector
ST-0277,2023,B,none mentioned,not specified,government/public sector; education
ST-0282,2024,B,none mentioned,not specified,healthcare; IoT/edge
ST-0283,2025,B,none mentioned,not specified,healthcare; identity
ST-0289,2022,C,none mentioned,not specified,healthcare
ST-0290,2021,B,none mentioned,not specified,supply chain
ST-0296,2026,C,none mentioned,not specified,government/public sector
ST-0297,2026,B,none mentioned,not specified,supply chain; government/public sector
ST-0299,2026,B,cross-chain bridge,Hyperledger Fabric; Ethereum; Bitcoin,healthcare; finance/banking; supply chain; government/public sector; energy/utilities; identity/PKI; IoT/edge/CPS; education
ST-0300,2025,B,none mentioned,Ethereum; Bitcoin,healthcare; finance/banking; supply chain; government/public sector; energy/utilities; identity/PKI; IoT/edge/CPS; transportation/mobility
ST-0305,2025,B,cross-chain bridge,Hyperledger Fabric; Ethereum; Bitcoin,healthcare; finance/banking; supply chain; government/public sector; energy/utilities; identity/PKI; IoT/edge/CPS; education; transportation/mobility; agriculture
ST-0308,2025,A,none mentioned,not specified,government/public sector
ST-0310,2025,B,cross-chain bridge,Ethereum,healthcare; supply chain; government/public sector; energy/utilities; identity/PKI; IoT/edge/CPS; education
ST-0315,2025,B,none mentioned,not specified,healthcare; IoT/edge
ST-0316,2025,B,none mentioned,not specified,healthcare; identity/PKI; IoT/edge/CPS; education; transportation/mobility; agriculture
ST-0317,2025,C,none mentioned,not specified,identity; IoT/edge; education
ST-0318,2025,B,oracle,Hyperledger Fabric; Ethereum; Bitcoin,healthcare; finance/banking; supply chain; government/public sector; energy/utilities; identity/PKI; IoT/edge/CPS; education; agriculture
ST-0319,2025,A,none mentioned,Ethereum,healthcare; supply chain; government/public sector; identity/PKI; IoT/edge/CPS
ST-0321,2025,C,none mentioned,not specified,finance/banking; government/public sector
ST-0325,2025,C,none mentioned,not specified,supply chain; government/public sector; IoT/edge
ST-0326,2025,C,none mentioned,not specified,healthcare
ST-0328,2025,C,none mentioned,not specified,healthcare; supply chain; government/public sector; identity; education
ST-0329,2025,D,none mentioned,not specified,IoT/edge
ST-0330,2025,B,sidechain,Hyperledger Fabric; Quorum; Ethereum,healthcare; finance/banking; supply chain; government/public sector; energy/utilities; identity/PKI; IoT/edge/CPS; education
ST-0333,2025,B,none mentioned,Hyperledger Fabric; Ethereum,finance/banking; supply chain; government/public sector; energy/utilities; identity/PKI; IoT/edge/CPS; education; transportation/mobility
ST-0336,2025,B,none mentioned,Hyperledger Fabric,healthcare; finance/banking; supply chain; government/public sector; energy/utilities; identity/PKI; IoT/edge/CPS; education
ST-0337,2025,B,none mentioned,not specified,healthcare; government/public sector; identity
