uncertain_id,title,authors,year,venue,doi,url,source,screen_reason,second_pass_recommendation,confidence,fulltext_found,fulltext_access,fulltext_source,landing_page_url,pdf_url,download_status,local_pdf_path,notes
UT-0001,QDBFT: A Dynamic Consensus Algorithm for Quantum-Secured Blockchain,Fei Xu; Cheng Ye; Jie OuYang; Ziqiang Wu; Haoze Chen; An Hua; Meifeng Gao; Qiandong Zhang; Minghan Li; Feilong Li; Yajun Miao; Wei Qi,2026,arXiv,10.48550/arXiv.2602.11606v1,http://arxiv.org/abs/2602.11606v1,arxiv,generic_blockchain_institutional,needs_manual,medium,yes,open,arxiv,http://arxiv.org/abs/2602.11606v1,https://arxiv.org/pdf/2602.11606v1.pdf,downloaded,data/fulltext/ambiguous/UT-0001-qdbft-a-dynamic-consensus-algorithm-for-quantum-secured-blockchain.pdf,
UT-0002,Integration Adapter Architecture for Food Traceability Blockchain,André Romão; Francisco Faria; João R. Matos; Emanuel Nunes; Samih Eisa; Miguel L. Pardal,2026,arXiv,10.48550/arXiv.2603.26306v1,http://arxiv.org/abs/2603.26306v1,arxiv,generic_blockchain_institutional,needs_manual,medium,yes,open,arxiv,http://arxiv.org/abs/2603.26306v1,https://arxiv.org/pdf/2603.26306v1.pdf,downloaded,data/fulltext/ambiguous/UT-0002-integration-adapter-architecture-for-food-traceability-blockchain.pdf,
UT-0003,Universally Composable Termination Analysis of Tendermint,Zhixin Dong; Xian Xu; Yuhang Zeng; Mingchao Wan; Chunmiao Li,2025,arXiv,10.48550/arXiv.2510.01097v2,http://arxiv.org/abs/2510.01097v2,arxiv,generic_blockchain_institutional,needs_manual,medium,yes,open,arxiv,http://arxiv.org/abs/2510.01097v2,https://arxiv.org/pdf/2510.01097v2.pdf,downloaded,data/fulltext/ambiguous/UT-0003-universally-composable-termination-analysis-of-tendermint.pdf,
UT-0006,EduChain: A Blockchain-based Education Data Management System,Yihan Liu; Ke Li; Zihao Huang; Bowen Li; Guiyan Wang; Wei Cai,2023,arXiv,10.48550/arXiv.2306.00553v1,http://arxiv.org/abs/2306.00553v1,arxiv,generic_blockchain_institutional,needs_manual,medium,yes,open,arxiv,http://arxiv.org/abs/2306.00553v1,https://arxiv.org/pdf/2306.00553v1.pdf,downloaded,data/fulltext/ambiguous/UT-0006-educhain-a-blockchain-based-education-data-management-system.pdf,
UT-0007,"DocCert: Nostrification, Document Verification and Authenticity Blockchain Solution",Monther Aldwairi; Mohamad Badra; Rouba Borghol,2023,arXiv,10.48550/arXiv.2310.09136v1,http://arxiv.org/abs/2310.09136v1,arxiv,tech_with_weak_signal,needs_manual,medium,yes,open,arxiv,http://arxiv.org/abs/2310.09136v1,https://arxiv.org/pdf/2310.09136v1.pdf,downloaded,data/fulltext/ambiguous/UT-0007-doccert-nostrification-document-verification-and-authenticity-blockchain-solutio.pdf,
UT-0008,An Enhanced Data Security Framework (FinTechSec++) for FinTechs and CBDCs,R. Kumar; S. K. Garg,2025,2025 Third International Conference on Industry 4.0 Technology (I4Tech),10.1109/I4Tech64670.2025.11277486,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11277486,ieee,generic_blockchain_institutional,needs_manual,medium,yes,unknown,openalex,https://doi.org/10.1109/i4tech64670.2025.11277486,,not_attempted,,
UT-0013,The Next Frontier: Blockchain Technology in Cross-Border Payments,M. Bhavana; N. Swapna; A. Y. Reddy; S. Vadlamudi; G. K. Koduru; T. Gandhi,2025,2025 6th International Conference on Electronics and Sustainable Communication Systems (ICESC),10.1109/ICESC65114.2025.11212286,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11212286,ieee,generic_blockchain_institutional,needs_manual,medium,yes,unknown,openalex,https://doi.org/10.1109/icesc65114.2025.11212286,,not_attempted,,
UT-0017,Towards a Cross-Chain Genomic Data Interoperability Framework: Secure and Compliant Federated Data Exchange Using Private Blockchains,F. Alakeel; B. Alothman,2025,2025 7th International Conference on Blockchain Computing and Applications (BCCA),10.1109/BCCA66705.2025.11229686,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11229686,ieee,generic_blockchain_institutional,needs_manual,medium,yes,unknown,openalex,https://doi.org/10.1109/bcca66705.2025.11229686,,not_attempted,,
UT-0025,Trustworthy Data Lakehouse Design Using Federated Learning and Blockchain,P. Chakraborty; M. A. Miah; M. A. Siam; H. Imam; K. B. Siddiqa; H. Rahman; C. R. Barikdar,2025,2025 1st International Conference on Advancement in Futuristic Technologies (ICAFT),10.1109/ICAFT66710.2025.11453041,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11453041,ieee,generic_blockchain_institutional,needs_manual,medium,yes,unknown,openalex,https://doi.org/10.1109/icaft66710.2025.11453041,,not_attempted,,
UT-0027,RPSC: Regulatable Privacy-Preserving Smart Contracts on Account-Based Blockchain,Z. L. Jiang; M. Xie; H. Chen; Y. Pan; J. Lyu; M. H. Au; J. Fang; Y. Liu; X. Wang,2024,IEEE Transactions on Network Science and Engineering,10.1109/TNSE.2024.3421539,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10582519,ieee,generic_blockchain_institutional,needs_manual,medium,yes,unknown,openalex,https://doi.org/10.1109/tnse.2024.3421539,,not_attempted,,
