title,authors,year,venue,abstract,doi,url,source
SPAD – A Secure and Privacy-Preserving Distributed Analytics Framework,I. Makhdoom; M. Abolhasan; J. Lipman; D. Franklin; M. Piccardi,2025,2025 IEEE International Conference on Blockchain and Cryptocurrency (ICBC),"Conventional secure multi-party computation schemes depend on trusted parties and have high complexity, transparency, and data integrity concerns. This research presents SPAD, a secure, distributed, and privacy-preserving data storage and analytics framework designed to address the above challenges. SPAD leverages Shamir’s secret-sharing scheme, Paillier Homomorphic Encryption, and Distributed Ledger Technology to ensure the confidentiality and integrity of data, security of private keys, low communication overheads, transparency and better scalability. It also facilitates building a verifiable authentic dataset to augment accurate analytics. The security analysis determines how SPAD mitigates the threats of privacy leakage and malicious collusion and facilitates privacypreserving analytics. The experimental results, comprising execution time and memory usage, complement the efficient performance of the framework.",10.1109/ICBC64466.2025.11114453,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11114453,ieee
Design and Implementation of Privacy Protection of Charity System Based on Blockchain,J. Yu; Z. Wen; S. Li; Y. Hou,2022,2022 11th International Conference of Information and Communication Technology (ICTech)),"With more and more public involvement in the charity field, higher requirements are put forward for user privacy protection in the charity system. As a decentralized, anonymous and immutable distributed ledger, blockchain provides a new idea to solve the privacy protection problems in charity systems. Aiming at the problem of data privacy protection of charity system, user-oriented and data-oriented privacy protection methods are proposed. User-oriented privacy protection by writing smart contracts to limit users' access to data and ensure the privacy of data; Data-oriented privacy protection encrypts data by using encryption algorithms. In this paper, an improved AES algorithm is proposed. By dynamically constructing S-box, the algorithm does not have obvious structural characteristics, and various properties are random transformation, which increases the difficulty of cracking; At the same time, the AES algorithm is parallelized to improve the encryption and decryption rates. Experimental results show that the improved AES algorithm can ensure the security of data encryption in charity system and improve the operation efficiency.",10.1109/ICTech55460.2022.00036,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9849626,ieee
An Enhanced Data Security Framework (FinTechSec++) for FinTechs and CBDCs,R. Kumar; S. K. Garg,2025,2025 Third International Conference on Industry 4.0 Technology (I4Tech),"As financial technologies (FinTechs) and central bank digital currencies (CBDCs) become more common, it is more important than ever to protect data integrity, privacy, and non-repudiation. To solve these problems, we suggest FinTechSec++, a layered security framework that uses advanced cryptographic primitives, secure multi-party computation, and blockchain-anchored logs. FinTechSec++ protects data from the beginning to the end with little latency (≤12 ms per transaction) and stops common attacks like replay, tampering, and insider compromise. It does this by using threat modeling and performance evaluation on a prototype implementation. We have made three contributions: (1) a new hybrid encryption signature scheme for data that is not being used and (2) a non-repudiation protocol that uses threshold signatures and timestamps. (3) an extensible architecture that can be used with existing FinTech/CBDC platforms. FinTechSec++ passes strict SBI compliance tests in both simulated and real-world situations, with a maximum throughput of 1,200 TPS.",10.1109/I4Tech64670.2025.11277486,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11277486,ieee
Blockchain-Enabled Innovation in Digital Governance and Learning Assessment Systems for Higher Education,J. Guo; M. Xu,2025,2025 5th International Conference on Educational Technology (ICET),"The ongoing digital transformation in higher education exposes traditional assessment systems to challenges of data security, limited oversight, and rigid evaluation models. Blockchain technology, with its core features of decentralization, immutability, and smart contracts, provides new pathways for upgrading digital governance and assessment frameworks. This study proposes a six-layer dynamic assessment architecture, integrating essential modules such as the learning record chain, dynamic assessment engine, incentive governance, and security/privacy subsystems. The architecture supports comprehensive, multi-agent, and context-aware evaluation and data management. The paper details the system’s platform architecture, data structure, and incentive/security mechanisms, focusing on consortium blockchain-driven collaborative governance and automated assessment via smart contracts. By analyzing case studies and practical bottlenecks, it identifies key challenges in standard alignment, institutional integration, and cross-sector collaboration. The paper offers targeted recommendations for system design, intelligence optimization, incentives, and privacy. Empirical evidence confirms that blockchain-based assessment platforms significantly advance the scientific and collaborative quality of academic evaluation, contributing a robust foundation for digital and multidimensional learning assessment reform in higher education.",10.1109/ICET67421.2025.11380424,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11380424,ieee
"A Scalable Blockchain-Enabled Federated Learning Framework for Privacy, Trust, and Efficiency in Edge Environments",G. V; B. S; B. R; D. D. K S,2025,2025 International Conference on Digital Innovations for Sustainable Solutions (ICDISS),"The convergence of federated learning and blockchain offers a promising pathway to address challenges of data privacy, trust management, and resource constraints in edge environments. This paper presents a scalable and secure blockchain-enabled federated learning framework designed to preserve data confidentiality, ensure model integrity, and optimize resource efficiency across distributed edge devices. The frame-work leverages blockchain for decentralized trust, tamper-proof model aggregation, and transparent auditing, while incorporating lightweight consensus protocols and adaptive resource allocation for scalability. Experimental evaluations demonstrate improved privacy preservation, reduced communication overhead, and enhanced trustworthiness, highlighting the framework's potential for real-world edge AI applications such as healthcare, IoT, and smart cities.",10.1109/ICDISS68238.2025.11320699,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11320699,ieee
Secure Multi-party Computation Scheme of Shared Energy Storage Index Based on Blockchain Environment,X. Jiang; L. Li; W. Qiu; Y. Pei; Y. Tao; Z. Lin,2021,2021 IEEE/IAS Industrial and Commercial Power System Asia (I&CPS Asia),"With the rapid development of the shared energy storage market, an efficient comprehensive evaluation index system can reflect the effectiveness of the market construction. In order to meet the requirements of data authenticity and privacy protection in the computation of shared energy storage evaluation index, a secure multi-party computation (SMPC) scheme for shared energy storage index under blockchain environment is proposed. The scheme takes the characteristics of the hierarchical permissions of the alliance chain into account; and based on the multi-channel architecture, it protects the data encryption process against leakage of data privacy by means of homomorphic encryption method. Finally, an example is presented to verify the effectiveness of the proposed security multi-party computation scheme.",10.1109/ICPSAsia52756.2021.9621528,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9621528,ieee
A Six-Layer Consortium Blockchain Architecture for Intelligent Assessment and Data Governance,J. Guo; M. Xu,2025,2025 International Conference on Educational Technology Management (ICETM),"The paper presents a six-layer consortium blockchain (CB) architecture that operationalizes assessment and data governance through verifiable computation and programmable Smart Contracts (SCs). The system integrates a Learning Record Ledger (LRL), a Dynamic Assessment Engine (DAE), an Incentive and Governance Module (IGM), and a Security and Privacy Module (SPM). The architecture leverages BFT-style consensus, fine-grained access control, and DID-based credentials. Together, these enable tamper-evident storage, automated policy enforcement, and cross-domain interoperability. We formalize the on-chain state machine for assessment workflows (submission → verification → scoring → attestation) and expose service interfaces for ingestion, query, and event subscription. A prototype evaluation reports throughput, confirmation latency, and storage overhead under representative workloads, and compares the CB design with a centralized baseline. Results show improved auditability and failure isolation with acceptable performance envelopes. TThe architecture is readily applicable to institutional data governance scenarios, supporting scalable, fault-tolerant, and auditable multi-domain assessment workflows.",10.1109/ICETM67477.2025.11413332,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11413332,ieee
A Study of Layer-2 Consortium Blockchain with zk-SNARKs for Medical Information Management,J. Yang; Y. Kodera; S. Huda; Y. Nogami,2024,2024 Twelfth International Symposium on Computing and Networking Workshops (CANDARW),"In the distributed medical information management system, blockchain technology has more obvious advantages in terms of data tampering data traceability. However, considering the scalability issues of current Layer-1 blockchain, uploading massive medical information data onto the blockchain will add non-negligible space storage pressure. Patients are also unable to have a comprehensive grasp of their personal privacy information retained in these data, which can lead to concern about the system’s privacy and security. To cope with these challenges, this paper introduced Layer-2 network to reduce the data space occupation in a single block. By storing unnecessary information in the off-chain channel, the transaction speed and throughput of the system would be improved. In addition, to strengthen the security within the process of data communication and storage, this paper also deployed the system based on consortium blockchain utilizing AWS cloud service. And the system integrated with the zero-knowledge proof algorithm zk-SNARKs to protect personal information privacy. According to the experimental simulation and analysis, the proposed scheme can reduce data storage space in the Lay-1 blockchain. What’s more, it also allows quick verification of on-chain data without disclosing personal privacy information.",10.1109/CANDARW64572.2024.00070,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10817834,ieee
Public vs. Permissioned Blockchains for DAOs: Insights for Standardized Implementations,S. Maurya; T. Sato; S. Ito,2025,2025 IEEE International Conference on Blockchain and Cryptocurrency (ICBC),"Web3 technologies are reshaping organizational structures through Decentralized Autonomous Organizations (DAOs), promoting transparent, automated, and collaborative governance. However, despite their promise, DAOs have seen limited mainstream adoption beyond financial domains, hindered by interoperability issues, governance complexities, and the absence of standardized implementation frameworks. To address these challenges, this work conducts a comparative analysis of public and permissioned blockchain environments—specifically Ethereum and Hyperledger Fabric—to evaluate DAO implementation trade-offs, synthesize design requirements, and identify actionable considerations for standardized implementations, such as transition frameworks and emerging technologies that can support adaptable, scalable DAO systems. The findings aim to inform more inclusive and interoperable DAO adoption across diverse industry and governance contexts.",10.1109/ICBC64466.2025.11114668,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11114668,ieee
IEEE Draft Standard for Layer 2 Framework for Blockchain and Distributed Ledger Technologies (DLT),,2026,"IEEE P3815/D4, November 2025",,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11395480,ieee
