title,authors,year,venue,abstract,doi,url,source
Consortium Blockchain for State-Owned Asset Transaction Polycentric Governance: An Evolutionary Game-Theoretic and Agent-Based Modeling Framework,"LUO, Ruiyang",2026,Zenodo (CERN European Organization for Nuclear Research),"The governance of state-owned asset (SOA) transactions in China faces persistentstructural challenges rooted in principal-agent problems and information asymme-try. The prevailing “post-transaction audit” paradigm creates regulatory lag of sixto eighteen months, during which non-compliant behaviors—including asset under-valuation, insider trading, and procedural circumvention—evade timely detection.This paper proposes a consortium blockchain-based governance framework that in-tegrates smart contract automation with incentive-compatible mechanism design,and validates it through a dual-validation paradigm combining evolutionary gametheory with agent-based modeling (ABM) using the Mesa library.The game-theoretic analysis derives threshold functions λ∗ = f (B, Ce , p, D) and∗p = g(B, Ce , λ, D) that characterize the penalty-detection substitution relation-ship. On-chain regimes (p > 0.7) require substantially lower penalty coefficients(λ∗ ∈ [0.15, 0.45]) than off-chain regimes (p < 0.4, λ∗ ∈ [1.8, 3.2]), reducing de-terrence requirements by an order of magnitude. Mesa ABM simulations validatethese predictions under bounded rationality and heterogeneous agent populations:parameter configurations exceeding threshold functions achieve 85.2% complianceconvergence within 30 iterations (SD = 3.1%), compared to 27.8% under baselineoff-chain conditions (SD = 6.4%), with the two populations diverging rapidly froma common 50% starting point. The system sustains over 80% compliance evenunder 20% Byzantine node infiltration, confirming collusion resistance at realisticadversarial levels. Sensitivity analysis reveals a “compliance ridge” along λ · p > 0.6,demonstrating that penalty intensity and detection probability are policy substitutesamenable to regulatory engineering. These results represent conservative estimatesunder the current parameterization; more aggressive penalty-detection configura-tions yield higher compliance ceilings approaching 94%.These findings establish that consortium blockchain does not merely improvetransparency as a technological overlay, but fundamentally reshapes the strategicpayoff landscape by directly controlling λ, p, and τ . The proposed framework pro-vides concrete design targets—including a recommended penalty threshold of λ ≥ 2.5with inspection probability p ≥ 0.85 for transactions exceeding ¥10 million—and a transferable dual-validation methodology for incentive mechanism design in multi-stakeholder governance contexts.",10.5281/zenodo.19202350,https://doi.org/10.5281/zenodo.19202350,openalex
Consortium Blockchain for State-Owned Asset Transaction Polycentric Governance: An Evolutionary Game-Theoretic and Agent-Based Modeling Framework,"LUO, Ruiyang",2026,Zenodo (CERN European Organization for Nuclear Research),"The governance of state-owned asset (SOA) transactions in China faces persistentstructural challenges rooted in principal-agent problems and information asymme-try. The prevailing “post-transaction audit” paradigm creates regulatory lag of sixto eighteen months, during which non-compliant behaviors—including asset under-valuation, insider trading, and procedural circumvention—evade timely detection.This paper proposes a consortium blockchain-based governance framework that in-tegrates smart contract automation with incentive-compatible mechanism design,and validates it through a dual-validation paradigm combining evolutionary gametheory with agent-based modeling (ABM) using the Mesa library.The game-theoretic analysis derives threshold functions λ∗ = f (B, Ce , p, D) and∗p = g(B, Ce , λ, D) that characterize the penalty-detection substitution relation-ship. On-chain regimes (p > 0.7) require substantially lower penalty coefficients(λ∗ ∈ [0.15, 0.45]) than off-chain regimes (p < 0.4, λ∗ ∈ [1.8, 3.2]), reducing de-terrence requirements by an order of magnitude. Mesa ABM simulations validatethese predictions under bounded rationality and heterogeneous agent populations:parameter configurations exceeding threshold functions achieve 85.2% complianceconvergence within 30 iterations (SD = 3.1%), compared to 27.8% under baselineoff-chain conditions (SD = 6.4%), with the two populations diverging rapidly froma common 50% starting point. The system sustains over 80% compliance evenunder 20% Byzantine node infiltration, confirming collusion resistance at realisticadversarial levels. Sensitivity analysis reveals a “compliance ridge” along λ · p > 0.6,demonstrating that penalty intensity and detection probability are policy substitutesamenable to regulatory engineering. These results represent conservative estimatesunder the current parameterization; more aggressive penalty-detection configura-tions yield higher compliance ceilings approaching 94%.These findings establish that consortium blockchain does not merely improvetransparency as a technological overlay, but fundamentally reshapes the strategicpayoff landscape by directly controlling λ, p, and τ . The proposed framework pro-vides concrete design targets—including a recommended penalty threshold of λ ≥ 2.5with inspection probability p ≥ 0.85 for transactions exceeding ¥10 million—and a transferable dual-validation methodology for incentive mechanism design in multi-stakeholder governance contexts.",10.5281/zenodo.19202351,https://doi.org/10.5281/zenodo.19202351,openalex
Blockchain and Megatrends in Agri-Food Systems: A Multi-Source Evidence Approach,Christos Karkanias; Apostolos Malamakis; George F. Banias,2026,Foods,"Blockchain is increasingly applied in the agri-food sector to enhance traceability, data integrity, and accountability. However, its broader role in food system sustainability remains insufficiently characterized, particularly when examined against global megatrends shaping future agri-food transitions. This paper investigates how blockchain technology can reinforce sustainable, inclusive, and resilient food systems under the effect of major global megatrends. A structured literature review of peer-reviewed and industry sources was conducted to identify evidence on blockchain-enabled improvements in transparency, certification, and supply chain coordination. Complementary analysis of a curated dataset of European and international pilot implementations evaluated technological architectures, governance models, and demonstrated performance outcomes. Additionally, stakeholder-based foresight activities and scenarios representing alternative blockchain adoption pathways, developed within the TRUSTyFOOD project (GA: 101060534), were used to examine the interconnection between blockchain adoption and megatrends. Evidence from the literature and pilot cases indicates that blockchain can strengthen product-level traceability and improve verification of sustainability and safety claims. Cross-case analysis also reveals persistent constraints, including heterogeneous technical standards, limited interoperability, high deployment costs for smallholders, and governance risks arising from consortium-led platforms. Blockchain can function as an enabling digital layer for sustainable and resilient food systems and should be embedded in wider, participatory strategies that align digital innovation with long-term sustainability and equity goals in the agri-food sector.",10.3390/foods15030447,https://doi.org/10.3390/foods15030447,openalex
"Blockchain–BIM integration in construction: A systematic literature review of workflows, mechanisms, and platforms",Amer A. Hijazi; Ali Alashwal; Milad Baghalzadeh Shishehgarkhaneh; Rodrigo N. Calheiros,2026,Journal of Building Engineering,"The integration of Blockchain with Building Information Modelling (BIM) addresses persistent challenges of transparency, accountability, interoperability, and trust in construction. Yet, systematic insights into Blockchain–BIM implementation remain limited. This study conducts a Systematic Literature Review (SLR), identifying six lifecycle stages where integration occurs, supported by 29 workflows and 30 technical methods. Applications include blockchain-secured design reviews, provenance tracking, automated procurement, smart payments, and immutable handover records. BIM data types—design metadata, cost and schedule data, IoT evidence, and compliance records—are mapped to smart contract functions and blockchain platforms. Key mechanisms such as hybrid on/off-chain storage, cryptographic hashing, access controls, and watermarking are comparatively analyzed. Results show permissioned platforms (e.g., Hyperledger Fabric) enable controlled collaboration, while public ones (e.g., Ethereum) support transparency and tokenization. The review provides a structured taxonomy and conceptual framework to advance theory and guide Blockchain–BIM adoption in complex construction projects. • Systematic review of Blockchain–BIM integration across the full project lifecycle • Lifecycle taxonomy identifying 29 workflows and 30 implementation methods • Mapping of BIM data types to smart contracts and blockchain platforms • Comparative analysis of trust, security, and interoperability mechanisms • Conceptual framework guiding industry-ready Blockchain–BIM adoption",10.1016/j.jobe.2026.115388,https://doi.org/10.1016/j.jobe.2026.115388,openalex
Building Trust in Smart Hospitals in Developing Countries: A PRISMA Review of Blockchain-Based Health Data Security,Kehinde Oluwagbenga Falayi; Moses Uyi Osagie; Kehinde Olúwasayo Akinola; Prisca Chisom Igwemezie; Stephen Alaba John,2026,International Journal of Life Science Research Archive,"The exponential growth of digital health data in hospitals has intensified concerns about data breaches, privacy violations, and interoperability failures within healthcare information systems. Traditional centralized data architectures remain highly vulnerable to cyberattacks, unauthorized access, and single points of failure, threatening the integrity of sensitive patient records. As healthcare systems transition toward smart and interconnected digital ecosystems, there is a pressing need for robust, transparent, and tamper-resistant data management frameworks. This study systematically reviews existing literature on the application of blockchain technology as a secure solution for health data management in smart hospitals. Adopting the PRISMA 2020 protocol, publications from 2016 to 2025 were retrieved from major databases, including Scopus, Web of Science, and PubMed. Out of 436 relevant studies, 42 peer-reviewed studies met the inclusion criteria. Data extraction captured study characteristics, blockchain types, implementation contexts, and findings. Evidence synthesis followed Braun and Clarke’s (2006) six-step thematic analysis framework. Findings reveal that blockchain enhances data security and integrity through cryptographic immutability and distributed consensus mechanisms, mitigates privacy risks via smart contracts and zero-knowledge proofs, and improves interoperability across healthcare stakeholders. However, challenges persist in scalability, regulatory alignment, and implementation costs, particularly in low-resource settings. This study concludes that hybrid and permissioned blockchain models offer the most viable pathway for achieving secure, compliant, and efficient healthcare data ecosystems. Therefore, this study recommends further integration with artificial intelligence and cloud technologies to optimize performance, while aligning deployment with ethical, legal, and institutional frameworks governing digital health.",10.53771/ijlsra.2026.10.1.0018,https://doi.org/10.53771/ijlsra.2026.10.1.0018,openalex
Blockchain-Enabled Cafeteria Token Management and Transaction System: A Permissioned DLT Approach for High-Throughput Institutional Micro-Payments,Anantam Neeraj Sai Preetam; Jalampelli Thirupathi; Chandanam Navadeep; Shaik Ruksana Begam; R.M. Noorullah; Ashritha L. Reddy,2026,,,10.1109/icmsci67830.2026.11469495,https://doi.org/10.1109/icmsci67830.2026.11469495,openalex
A lightweight scalable hybrid authentication framework for Internet of Medical Things (IoMT) using blockchain hyperledger consortium network with edge computing,Abdullah Ayub Khan; Asif Ali Laghari; Roobaea Alroobaea; Abdullah M. Baqasah; Majed Alsafyani; Hamed Alsufyani; Sajid Ullah,2025,Scientific Reports,"The Internet of Things (IoMT) has revolutionized the global landscape by enabling the hierarchy of interconnectivity between medical devices, sensors, and healthcare applications. Significant limitations in terms of scalability, privacy, and security are associated with this connection. This study presents a scalable, lightweight hybrid authentication system that integrates blockchain and edge computing within a Hyperledger Consortium network to address such real-time problems, particularly the use of Hyperledger Indy. For secure authentication, Hyperledger ensures a permissioned, decentralized, and impenetrable environment, while edge computing lowers latency by processing data closer to IoMT devices. The proposed framework balances security and computing performance by utilizing a hybrid cryptographic technique, like NuCypher Threshold Proxy Re-Encryption. Applicational activities are now appropriate for IoMT devices with limited resources thanks to this integration. By facilitating cooperation between numerous stakeholders with restricted access, the consortium network improves scalability and data governance. Comparing the proposed framework to the state-of-the-art techniques, experimental evaluation shows that it reduces latency by 2.93% and increases authentication efficiency by 98.33%. Therefore, in contrast to current solutions, guarantee data integrity and transparency between patients, consultants, and hospitals. The development of dependable, scalable, and secure IoMT applications is facilitated by this work, enabling next-generation medical applications.",10.1038/s41598-025-05130-w,https://doi.org/10.1038/s41598-025-05130-w,openalex
Exploring dimensions of governance for different types of blockchain systems,Rina Dhillon; Prabhu Sivabalan,2025,The British Accounting Review,"The rapid evolution of digital technologies has significantly reshaped governance. While much existing literature focuses on public blockchain governance, fewer investigate governance mechanisms of private and consortium blockchains, increasingly prevalent in society. We explore how blockchain systems enact governance using Beck et al.’s (2018) framework examining decision rights, accountability, and incentives. Interviews with eighteen blockchain experts reveal that public blockchains offer greater decision rights, less accountability and emphasise intrinsic incentives. In contrast, private and consortium blockchains adopt hierarchical governance where central entities regulate access, decision-making and behavioural norms. These systems prioritise extrinsic incentives and accountability than public blockchains. Our findings challenge the view of blockchain as purely decentralised, instead offering evidence of hybridised structures in practice. We also extend Beck et al.’s framework by studying three blockchain types and propose a systems and structure-based rationale for control in blockchains, as opposed to trust-based mechanisms (Pflueger et al. (2022)). Finally, we offer a variation on how responsibility and accountability depart, beyond extant MA studies (Burkert et al., 2011; Giraud et al., 2008) - suggesting that openness does not necessarily equate to enhanced accountability. These insights are crucial for understanding blockchain governance and have important implications for digital systems integration in organisations.",10.1016/j.bar.2025.101588,https://doi.org/10.1016/j.bar.2025.101588,openalex
Exploring the potential of blockchain technology for citizen engagement in smart governance,Niccolò Testi; Rebecca Marconi; Edna Pásher,2025,Open Research Europe,"<ns3:p>This review article explores the potential of blockchain technology (BCT) as a key enabler for fostering transparency, trust, and citizen engagement in smart governance within smart cities. By examining the benefits of BCT in various aspects of smart city systems, such as data security and privacy, the paper highlights the advantages of implementing consortium blockchain architecture and the Proof of Authority (PoA) consensus algorithm and discusses the challenges of scalability and security concerns. Based on the literature showed in this article, we believe that the use of BCT in smart governance could significantly enhance citizen participation and help manage and deliver public services, paving the way for more effective decision-making processes and improved quality of life for citizens.</ns3:p>",10.12688/openreseurope.16153.4,https://doi.org/10.12688/openreseurope.16153.4,openalex
A process model of governance adaptation and performance outcomes in e-commerce permissioned blockchain networks,Sulafa Badi; Livashnee Naidoo,2025,International Journal of Production Economics,,10.1016/j.ijpe.2025.109709,https://doi.org/10.1016/j.ijpe.2025.109709,openalex
